ID,name,gravityLevel
30000000-0000-0000-0000-000000000000,Kepler-368b,12
30000000-0000-0000-0000-000000000001,Proxima-Centauri,9
30000000-0000-0000-0000-000000000002,Andromeda,7
30000000-0000-0000-0000-000000000003,Orion Belt,15
30000000-0000-0000-0000-000000000004,Vega,6
30000000-0000-0000-0000-000000000005,Sirius IX,11
30000000-0000-0000-0000-000000000006,Alpha-Cygni,8
30000000-0000-0000-0000-000000000007,Betelgeuse,14
30000000-0000-0000-0000-000000000008,Draconis,10
30000000-0000-0000-0000-000000000009,Tau-Ceti,5
