ID;name;spacesuitColor_code;stardustCollection;wormholeNavigationSkill;originPlanet_code;department_ID;position_ID
10000000-0000-0000-0000-000000000001;Cosmixer;BLUE;10;5;EARTH;20000000-0000-0000-0000-000000000001;30000000-0000-0000-0000-000000000000
10000000-0000-0000-0000-000000000002;Vogon;RED;20;8;EARTH;20000000-0000-0000-0000-000000000001;30000000-0000-0000-0000-000000000001
10000000-0000-0000-0000-000000000003;Nebulon;PURPLE;15;7;EARTH;20000000-0000-0000-0000-000000000001;30000000-0000-0000-0000-000000000009
10000000-0000-0000-0000-000000000004;Starla;PURPLE;25;9;EARTH;20000000-0000-0000-0000-000000000002;30000000-0000-0000-0000-000000000009
10000000-0000-0000-0000-000000000005;QuasarX;PURPLE;40;10;VENUS;20000000-0000-0000-0000-000000000002;30000000-0000-0000-0000-000000000001
10000000-0000-0000-0000-000000000006;Luminex;WHITE;18;6;EARTH;20000000-0000-0000-0000-000000000002;30000000-0000-0000-0000-000000000000
10000000-0000-0000-0000-000000000007;Astrobyte;WHITE;12;4;EARTH;20000000-0000-0000-0000-000000000003;30000000-0000-0000-0000-000000000001
10000000-0000-0000-0000-000000000008;Zentari;PURPLE;30;8;MARS;20000000-0000-0000-0000-000000000003;30000000-0000-0000-0000-000000000001
10000000-0000-0000-0000-000000000009;Photonix;PURPLE;50;10;EARTH;20000000-0000-0000-0000-000000000002;30000000-0000-0000-0000-000000000000
10000000-0000-0000-0000-000000000010;Galaxor;TEAL;22;7;EARTH;20000000-0000-0000-0000-000000000003;30000000-0000-0000-0000-000000000009
10000000-0000-0000-0000-000000000011;Orbitron;PURPLE;17;6;EARTH;20000000-0000-0000-0000-000000000002;30000000-0000-0000-0000-000000000001
10000000-0000-0000-0000-000000000012;NovaPrime;RED;35;9;EARTH;20000000-0000-0000-0000-000000000003;30000000-0000-0000-0000-000000000000
10000000-0000-0000-0000-000000000013;Cosmixer;BLUE;10;5;EARTH;20000000-0000-0000-0000-000000000003;30000000-0000-0000-0000-000000000001
10000000-0000-0000-0000-000000000014;Fanni;RED;20;8;EARTH;20000000-0000-0000-0000-000000000002;30000000-0000-0000-0000-000000000009
10000000-0000-0000-0000-000000000015;Nebulon;GREEN;15;7;VENUS;20000000-0000-0000-0000-000000000003;30000000-0000-0000-0000-000000000001
10000000-0000-0000-0000-000000000016;Starla;PURPLE;25;9;EARTH;20000000-0000-0000-0000-000000000002;30000000-0000-0000-0000-000000000009
10000000-0000-0000-0000-000000000017;QuasarX;BLUE;40;10;VENUS;20000000-0000-0000-0000-000000000003;30000000-0000-0000-0000-000000000000
10000000-0000-0000-0000-000000000018;Luminex;WHITE;18;6;EARTH;20000000-0000-0000-0000-000000000002;30000000-0000-0000-0000-000000000001
10000000-0000-0000-0000-000000000019;Astrobyte;BLUE;12;4;MARS;20000000-0000-0000-0000-000000000003;30000000-0000-0000-0000-000000000009
10000000-0000-0000-0000-000000000020;Zentari;GREEN;30;8;EARTH;20000000-0000-0000-0000-000000000002;30000000-0000-0000-0000-000000000009
10000000-0000-0000-0000-000000000021;Photonix;PURPLE;50;10;EARTH;20000000-0000-0000-0000-000000000003;30000000-0000-0000-0000-000000000009
10000000-0000-0000-0000-000000000022;Galaxor;PURPLE;22;7;EARTH;20000000-0000-0000-0000-000000000002;30000000-0000-0000-0000-000000000001
10000000-0000-0000-0000-000000000023;Orbitron;GREEN;17;6;MARS;20000000-0000-0000-0000-000000000003;30000000-0000-0000-0000-000000000000
10000000-0000-0000-0000-000000000024;NovaPrime;GREEN;35;9;EARTH;20000000-0000-0000-0000-000000000003;30000000-0000-0000-0000-000000000001
